Marca temporal,Nº de lista,1. Describe brevemente qué crees que es la Inteligencia Artificial.,2. El nivel técnico que se requiere para entender la Inteligencia Artificial es demasiado alto para la mayor parte de la población.,"3. Si un algoritmo es capaz de predecir el resultado de un partido de futbol, es muy probable que sea capaz también de predecir el comienzo de la 3ª guerra mundial.","4. En menos de 10 años, surgirá algún tipo de Inteligencia Artificial que amenazará seriamente a la Humanidad.","5. Como usuario, la regulación legal de la Inteligencia Artificial afectará a mi vida.","6. Describe brevemente cuales son los principales peligros de la Inteligencia Artificial, si conoces alguno de ellos.","7. Cuando un sistema de Inteligencia Artificial ofrece resultados que discriminan en términos de, por ejemplo, sexo, esto se suele deber a:",8. Mediante el aprendizaje automático (machine learning):,9. ¿Cuál de las siguientes afirmaciones es verdadera?
17/12/2019 15:24:19,1,Conjunto de algoritmos en un sistema que permite simular la inteligencia humana ,De acuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Sustitución de mano de obra humana (desempleo),"Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático."
17/12/2019 15:27:12,2,Máquinas que realizan laboras que solo podían realizar los seres humanos.,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,No lo se.,"Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático."
17/12/2019 15:30:34,3,Inteligencia programada por personas con el fin de automatizar tareas incluso de que la misma máquina aprenda sola.,Totalmente de acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Darle instrucciones incorrectamente que nos pueda dañar a nosotros o a nuestros bienes.,Que los desarrolladores del sistema tenían sesgos sexistas.,"Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático."
17/12/2019 15:30:41,4,La inteligencia llevada por máquinas que imitan algunas acciones del ser humano,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Reemplazar al ser humano en el ámbito laboral,"Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Cuantos más textos utilizamos para entrenar, peor será el resultado obtenido con el aprendizaje automático."
17/12/2019 15:34:27,5,Es una inteligencia que tiene los ordenadores para aprender nuestro lenguajes. ,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Peligro de que los robots no obedezca a los humanos,"Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Con el aprendizaje automático los ordenadores aprenden a pensar y pueden reconocer cualquier tipo de texto, de la misma manera que lo hace un ser humano."
17/12/2019 15:52:50,6,Es un software que analiza una serie de datos y es capaz de dar una respuesta según éstos.,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,"La toma de decisiones lógica
Y la falta de razonamiento humano.","Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático."
17/12/2019 15:53:54,7,Algoritmos que aprenden solos,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,"Descontrol, inseguridad, no privacidad.","Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer cualquier texto que le presentemos.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático."
17/12/2019 15:54:09,8,"Sistemas informáticos automarizados, capaces de aprebder por ellos mismos, para que se asemejen a los humanos.",En desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,"Que usa la lógica, no tiene sentimientos, y si ve que el ser humano es innecesario o un peligro para el planeta por lógica razona si es necesario que exista o no y podria eliminarlo.","Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer cualquier texto que le presentemos.","Con el aprendizaje automático los ordenadores aprenden a pensar y pueden reconocer cualquier tipo de texto, de la misma manera que lo hace un ser humano."
17/12/2019 15:58:13,9,Aquella que intenta automatizar tareas como por ejemplo el asistente de voz de Google o encender la luz a través del móvil. Su objetivo es facilitar y reducir tareas que al ser humano puede resultarles tediosa. ,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Más ciberdelincuencia que a la vez es menos seguridad de datos y privacidad para usuarios. ,Que el sistema refleja la realidad sexista de la naturaleza humana.,"Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer cualquier texto que le presentemos.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático."
17/12/2019 16:03:37,10,"La IA es la inteligencia no humana, es decir, la que es llevada por máquinas. ",De acuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,"La lógica de éstas.
Su potencial.
Uqe lleguen a un nivel al cual a los humanos les sean imposibles de controlar.","Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer cualquier texto que le presentemos.","Con el aprendizaje automático los ordenadores aprenden a pensar y pueden reconocer cualquier tipo de texto, de la misma manera que lo hace un ser humano."
17/12/2019 20:40:44,11,Un programa informático que aprende sin la intervención del programador ,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Una inteligencia artificial puede llegar a predecir el comportamiento de una persona y también puede superar la inteligencia humana,"Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer cualquier texto que le presentemos.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático."
17/12/2019 21:16:55,12,Es la inteligencia con la que resuelve las máquina las distintas situaciones.,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,El mal usó por organizaciones criminales o gobiernos corruptos pueden ser muy peligroso.,"Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático."
9/03/2020 8:59:07,13,Un software que simula el razonamiento humano.,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,"1. Servir a la humanidad.
2. No dañar a la humanidad.",Que el sistema refleja la realidad sexista de la naturaleza humana.,"Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer cualquier texto que le presentemos.","Con el aprendizaje automático los ordenadores aprenden a pensar y pueden reconocer cualquier tipo de texto, de la misma manera que lo hace un ser humano."
9/03/2020 8:59:08,14,Es el estudio de como una máquina puede adquirir conocimientos a través de datos,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,La perdida de puestos de trabajo,Que el sistema refleja la realidad sexista de la naturaleza humana.,"Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer únicamente los textos que coincidan exactamente con esos textos de ejemplo.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático."
9/03/2020 9:00:05,15,"Capacidad que puede tener una máquina de ""pensar"" o ""razonar"" como un ser humano, aunque esto es bastante relativo. En definitiva, la máquina podrá tomar decisiones por si misma.",Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,La incertidumbre de saber qué pasará.,Que el sistema refleja la realidad sexista de la naturaleza humana.,"Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer cualquier texto que le presentemos.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático."
9/03/2020 9:01:06,16,"Es el poder hacer que una máquina pueda razona, pensar y comprender un entorno como un ser humano.",De acuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,"La pérdidas de trabajos, llegar hasta tal punto en el que sea imposible controlar a la IA.","Que los datos que se usaron para entrenar al sistema no estaban equilibrados, es decir, que se utilizaron muchos más datos correspondientes a hombres que a mujeres, o viceversa.","Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático."
9/03/2020 9:01:51,17,La automatización de tareas y/o procesos con la finalidad de facilitar el ciertas funciones.,De acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,De acuerdo,No conozco ninguno de ellos.,Que el sistema refleja la realidad sexista de la naturaleza humana.,"Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer cualquier texto que le presentemos.","Con el aprendizaje automático los ordenadores aprenden a pensar y pueden reconocer cualquier tipo de texto, de la misma manera que lo hace un ser humano."
9/03/2020 9:03:13,18,La inteligencia artificial es un tipo de inteligencia que se lleva a cabo con robots. ,Ni de acuerdo ni en desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,"Llegar a un punto en el que las máquinas sean más inteligentes que los seres humanos, saber realizar todas las tareas, mejor que nosotros y con una mayor eficiencia y acabemos desapareciendo como especie.",Que el sistema refleja la realidad sexista de la naturaleza humana.,"Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer únicamente los textos que coincidan exactamente con esos textos de ejemplo.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático."
9/03/2020 9:03:24,19,La capacidad de emular la mente humana en una máquina,De acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,"La destrucción de puestos de empleo. Creará más de los destruidos, pero la gran mayoría de la gente no está cualificada para estos.",Que el sistema refleja la realidad sexista de la naturaleza humana.,"Presentamos al ordenador un conjunto de textos de ejemplo y este, después de procesarlos, es capaz de reconocer textos parecidos a dichos textos de ejemplo, pero nuevos, es decir, textos que no ha visto anteriormente.","Los datos de entrenamiento son fundamentales para el aprendizaje automático, sin datos no es posible hacer aprendizaje automático."
